"artist_name","track_name","release_date","genre","lyrics"
"Marvin Gaye","What’s Going On","1971","Soul","Hey, hey-hey Hey, what's happenin'? Hey, brother, what's happenin'? Boy, this is a groovy party (Hey, how you doin'?) Man, I can dig it Yeah, brother, solid, right on What's happenin'? Hey, man, what's happening? Woo Everything is everything We're gonna do a get down today, boy, I'll tell ya Mother, mother There's too many of you crying Brother, brother, brother There's far too many of you dying You know we've got to find a way To bring some loving here today, yeah Father, father We don't need to escalate You see, war is not the answer For only love can conquer hate You know we've got to find a way To bring some loving here today, oh (Oh) Picket lines (Sister) and picket signs (Sister) Don't punish me (Sister) with brutality (Sister) Talk to me (Sister), so you can see (Sister) Oh, what's going on (What's going on) What's going on (What's going on) Yeah, what's going on (What's going on) Oh, what's going on Ah-ah-ah-ah (In the meantime, right on, baby) Woo (Right on, baby), woo Ah-ya-ya-ya-ya-ya-ya, ya-ya-ya-ya-ya Woo (Right on, baby, right on), woo Ah-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya Ba-da-boo-doo, boo-boo-boo-doo, boo-boo-boo Ba-da-boo-boo-boo-doo, boo-boo-boo-ba-ba-do Mother, mother Everybody thinks we're wrong Oh, but who are they to judge us Simply 'cause our hair is long? Oh, you know we've got to find a way To bring some understanding here today, oh-oh Picket lines (Brother) and picket signs (Brother) Don't punish me (Brother) with brutality (Brother) Come on, talk to me (Brother), so you can see (Brother) Oh, what's going on (What's going on) Yeah, what's going on (What's going on) Tell me what's going on (What's going on) I'll tell you what's going on (What's going on) Woo-ooh-ooh-ooh (Right on, baby, right on) Ah-ya-ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya-ya Woo, woo (Right on) Ah-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya Ba-da-boo-doo, boo-boo-boo-doo Ba-da-boo-boo-boo-doo, ba-da-da-da-da-da-da Woo (Right on, baby, come on, right on) Ah-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya Woo (Right on) Listen, ah-ya-ya-ya-ya-ya-ya-ya Da-boo-doo, boo-boo-boo-doo Da-boo-boo-doo, boo-boo-boo"
"Marvin Gaye","Ain’t No Mountain High Enough","1967","Soul","Listen, baby Ain't no mountain high, ain't no valley low Ain't no river wide enough, baby If you need me, call me, no matter where you are No matter how far, don't worry, baby Just call my name, I'll be there in a hurry You don't have to worry, 'cause, baby, there Ain't no mountain high enough Ain't no valley low enough Ain't no river wide enough To keep me from gettin' to you, baby Remember the day I set you free I told you you could always count on me, darlin' From that day on, I made a vow I'll be there when you want me, someway, somehow Oh, baby, there Ain't no mountain high enough Ain't no valley low enough Ain't no river wide enough To keep me from gettin' to you, babe Oh no, darlin' No wind, no rain Or winter's cold Can stop me, baby (No, no, baby) 'Cause you are my goal If you're ever in trouble I'll be there on the double Just send for me, oh baby, ha My love is alive (Woo), way down in my heart Although we are miles apart If you ever need a helpin' hand I'll be there on the double just as fast as I can Don't you know that there Ain't no mountain high enough Ain't no valley low enough Ain't no river wide enough To keep me from gettin' to you, babe Don't ya know that there Ain't no mountain high enough Ain't no valley low enough Ain't no river wide enough Ain't no mountain high enough Ain't no valley low enough"
"Marvin Gaye","Sexual Healing","1982","Soul","Get up, get up, get up, get up Wake up, wake up, wake up, wake up Oh baby, now let's get down tonight Ooh Baby I'm hot just like an oven (Heal me, my darling) I need some lovin' (Heal me, my darling) And baby, I can't hold it much longer (Heal me, my darling) It's getting stronger and stronger (Heal me, my darling) And when I get that feeling I want sexual healing Sexual healing, oh baby Makes me feel so fine Helps to relieve my mind Sexual healing, baby, is good for me Sexual healing is something that's good for me Whenever blue teardrops are falling And my emotional stability is leaving me There is something I can do I can get on the telephone and call you up, baby, and Honey, I know you'll be there to relieve me The love you give to me will free me If you don't know the thing you're dealing Oh, I can tell you, darling, that it's sexual healing (Get up, get up, get up, get up) Let's make love tonight (Wake up, wake up, wake up, wake up) 'Cause you do it right Baby, I got sick this morning (Heal me, my darling) A sea was storming inside of me (Heal me, my darling) Baby, I think I'm capsizing (Heal me, my darling) The waves are rising and rising (Heal me, my darling) And when I get that feeling I want sexual healing Sexual healing is good for me Makes me feel so fine, it's such a rush Helps to relieve the mind, and it's good for us Sexual healing, baby, it's good for me Sexual healing is something that's good for me And it's good for me, and it's so good to me My baby, ohhh Come take control, just grab a hold Of my body and mind, soon we'll be making it, honey Oh, we're feeling fine You're my medicine, open up and let me in Darling, you're so great I can't wait for you to operate (Heal me, my darling) I can't wait for you to operate When I get this feeling (Heal me, my darling) I need sexual healing Oh, when I get this feeling (Heal me, my darling) I need sexual healing I gotta have sexual healing, darling (Heal me, my darling) 'Cause I'm all alone I need sexual healing, darling (Heal me, my darling) 'Til you come back home Please don't procrastinate (Heal me, my darling) It's not good to masturbate"
"Marvin Gaye","Let’s Get It On","1973","Soul","I've been really trying, baby Trying to hold back this feeling for so long And if you feel like I feel, baby Then come on, oh, come on, ooh Let's get it on, ow, baby Let's get it on, let's love, baby Let's get it on, sugar Let's get it on, woo We're all sensitive people with so much to give Understand me, sugar Since we got to be here, let's live, I love you There's nothing wrong with me loving you, baby, no, no And giving yourself to me can never be wrong If the love is true, oh, baby, ooh Now don't you know how sweet and wonderful life can be? Ooh, ooh I'm asking you, baby, to get it on with me, ooh, ooh, ooh I ain't gonna worry, I ain't gonna push, I won't push you, baby So come on, come on, come on, come on, come on, baby Stop beating 'round the bush, hey Let's get it on, ooh, ooh, let's get it on You know what I'm talkin' 'bout Come on, baby, hey, let your love come out If you believe in love Let's get it on, ooh, let's get it on, baby This minute, oh yeah, let's get it on Please, let's get it on, hey, hey I know you know what I been dreamin' of, don't you, baby? My whole body wants that feelin' of love, oh, help me, woo I ain't gonna worry, no, I ain't gonna push I won't push you, baby, woo Come on, come on, come on, come on, darling Stop beatin' 'round the bush Oh, gonna get it on, threatenin' you, baby I wanna get it on You don't have to worry that it's wrong If the spirit moves you Let me groove you good Let your love come down Oh, get it on, come on, baby Do you know the meaning of being sanctified? Hey, hey Girl, you give me good feeling, so good, somethin' like sanctified Oh, do right, baby Nothing wrong with love If you want to love me, just let yourself go Oh baby, let's get it on right now"
"Marvin Gaye","The Star-Spangled Banner","","Soul","Say, can you see by the dawn's early light What so proudly we hailed at the twilight's last gleaming? Whose broad stripes and bright stars through the perilous fight Oh Lord, oh, the fight O'er the ramparts we watched were so gallantly, yeah, streaming? And the rocket's red glare, the bombs bursting in air Gave proof through the night that our flag was still there Oh, say does thy star-spangled banner yet wave O'er the land of the free and the home of the, home of the brave? Oh Lord, woo"
"Marvin Gaye","I Heard It Through the Grapevine","1968","Soul","Ooh-ooh, I bet you're wondering how I knew 'Bout your plans to make me blue With some other guy you knew before Between the two of us guys You know I love you more It took me by surprise, I must say When I found out yesterday Don't you know that I heard it through the grapevine Not much longer would you be mine Oh, I heard it through the grapevine Oh, I'm just about to lose my mind Honey, honey, yeah (Heard it through the grapevine, not much longer would you be my baby) I know a man ain't supposed to cry But these tears, I can't hold inside Losing you would end my life, you see 'Cause you mean that much to me You could have told me yourself That you love someone else Instead I heard it through the grapevine Not much longer would you be mine Oh, I heard it through the grapevine And I'm just about to lose my mind Honey, honey, yeah (Heard it through the grapevine, not much longer would you be my baby) People say believe half of what you see Son, and none of what you hear But I can't help being confused If it's true please tell me, dear Do you plan to let me go For the other guy you loved before? Don't you know I heard it through the grapevine Not much longer would you be mine, baby I heard it through the grapevine Ooh, I'm just about to lose my mind Honey, honey, yeah (Heard it through the grapevine, not much longer would you be my baby) (Yeah, yeah, yeah) Honey, honey, I know (Heard it through the grapevine, not much longer would you be my baby) That you're letting me go (Yeah, yeah, yeah) Said I heard it through the grapevine (Heard it through the grapevine, not much longer would you be my baby) Ooh, heard it through the grapevine (Yeah, yeah, yeah)"
"Marvin Gaye","Inner City Blues (Make Me Wanna Holler)","1971","Soul","Rockets, moon shots Spend it on the have-not's Money, we make it Before we see it, you take it Oh, make me wanna holler The way they do my life (Yeah) Make me wanna holler The way they do my life This ain't living, this ain't living No, no, baby, this ain't living No, no, no, no Inflation, no chance To increase finance Bills pile up sky high Send that boy off to die Oh, make me wanna holler The way they do my life (He-ey-ey) Yeah, make me wanna holler The way they do my life Oh, baby Hang ups, let downs Bad breaks, set backs Natural fact is Oh, honey, that I can't pay my taxes Oh, make me wanna holler And throw up both my hands Yeah, it make me wanna holler And throw up both my hands (Ow!) Crime is (Woo!) increasing Trigger happy policing Panic is spreading God knows where we're heading Oh, baby Make me wanna holler, they don’t understand Yeah, make me wanna holler, they don’t understand Mother, mother (Mother, mother) Everybody thinks we're wrong (Mother, mother) Who are they to judge us? (Mother, mother) Simply 'cause we wear our hair long (Mother, mother) Ooh Ah-ya-ya-ya-ya-ya-ya-ya-ya Oh"
"Marvin Gaye","I Want You","1976","Soul","I want you (And I want you) — the right way (The right way, babe) I want you (Yes, I do) But I want you to want me too (Want me too) Want you to want me, baby (And I want you to do right, baby) Just like I want you (Woo) Oh, I give you all the love I want in return, sweet darling But half a love is all I feel Ooh, it's too bad, it's just too sad, you don't want me now But I'm going to change your mind, someway, somehow, oh baby I want you — the right way I want you But I want you to want me too I want you to want me, baby Just like I want you Ooh, ooh This one way love is just a fantasy, oh sugar To share is precious, pure and fair, ooh Don't play with something you should cherish for life, oh baby Don't you want to care? Ain't it lonely out there? I want you (I want you) — the right way (Want you, baby) I want you But I want you to want me too I want you to want me, baby (Oh, I want you to get down, baby) When I get down with you, yeah, darlin', oh, ooh (Just like I want you) Get down, baby, woo Have mercy Listen precious, I wanted you For a long time I wanted you More than you can imagine Oh baby, so fine, ow! I want you - the right way, baby I want you, baby But I want you to want me too, baby Gotta, gotta, gotta love me, sugar Oh, the way that I love you Woooo, I want you"
"Marvin Gaye","Mercy Mercy Me (The Ecology)","1971","Soul","Woah-oh, oh, mercy, mercy me Oh, things ain't what they used to be, no, no Where did all the blue skies go? Poison is the wind that blows from the North and South and East (Father) Woah-oh, mercy, mercy me (Ah, mercy) Oh, things ain't what they used to be, no, no (Have mercy, Father) Oil wasted on the oceans and upon our seas (Have mercy, please have mercy, Father) Fish full of mercury (Please have mercy, Father) Oh, oh, oh mercy, mercy me (Help us, Father, have mercy, please help us, Father) Oh, things ain't what they used to be, no, no (Have mercy, you oughta help us, Father) Radiation underground and in the sky (Please have mercy, ah, help us, Father) Animals and birds who live nearby are dying (Oh, please help us, Father, Father, help us, Father) Oh, mercy, mercy me (Have mercy, mmm, mercy, Father) Oh, things ain't what they used to be (Please have mercy, ah, mercy, Father) What about this overcrowded land? (Have mercy, Father, oh, have mercy, Father) How much more abuse from man can she stand? (Please have mercy, mmm) Ooh, ooh, oh, no, no, na, na, na, na My sweet Lord, na, na, na My, my Lord, my sweet Lord Breathe"
"Marvin Gaye","Got to Give It Up","1977","Soul","I used to go out to parties And stand around Cause I was too nervous To really get down But my body yearned to be free I got up on the floor and thought ""Somebody could choose me"" No more standin' there beside the walls I done got myself together, baby And now I'm havin' a ball As long as you're groovin' There's always a chance Somebody watchin' Might wanna make romance Move your body, ooo baby, and dance all night To the groove and feel alright Everybody's groovin' on like a fool But if you see me spread out and let me in Baby just party high and low Let me step into your erotic zone Move it up Turn it 'round Shake it down Oooww!! You can love me when you want to, baby This is such a groovy party, baby We're here face to face Everybody's swingin' This is such a groovy place All the young ladies are so fine! You're movin' your body easy with no doubts I know what you thinkin', baby You wanna turn me out Think I'm gonna let you do it, babe Keep on dancin', oh, baby You got to get it Got to give it up Keep on dancin' (You got to get it) Got to give it up Keep on dancin' (You got to get it) Got to give it up Keep on dancin' (You got to get it) Got to give it up Keep on dancin' (You got to get it) Got to give it up Keep on dancin' (You got to get it, oh darling) Got to give it up Ooooh, ooooh, ooooh, ooooh If you want it, baby Got to give it up If you want it, baby Got to give it up Want it, ah Got to give it up If you want it, baby Got to give it up Want it, ah Got to give it up If you want it, baby I got to give it up Dancing lady Dancing lady Dancing lady Dancing lady Dancing lady Dancing lady Dancing lady Dancing lady Dancing lady Dancing lady Dancing lady Dancing lady Dancing lady Dancing lady If you want to dance some more Dance some more, ooh Feels so good - dancing Oh ,yeah Looks so good Ooh, look at you, baby, oh yeah You look so good To you, baby My darling (Got to give it up) Dancing, baby On the floor (Got to give it up) Let me see you, darling Dancin', baby - look so good Keep on dancin' - look so good (Give it up) Look at me, baby Look so good Have mercy Non-stop express party Standing by Get down Non-stop, express - party, y'all Feels good, this trance, I've got to dance Get down Let's dance, let's shout Get funky, what it's all about Let's dance, let's shout Get funky, what it's all about Let's dance, let's shout Get funky, what it's all about Let's dance, let's shout Get funky, what it's all about Let's dance, let's shout Get funky, what it's all about Let's dance, let's shout Get funky, what it's all about Let's dance, let's shout Get funky, what it's all about Let's dance, let's shout Get funky, what it's all about Hang in there, baby Got to dance with you, baby All night long I could work out, single, darling Or hold I could dance with you, baby All night long I could work out, some more, baby We go home If you want it, sugar Got to give it up Hit me! I got to give it up Party with me, baby You got to give it up This mornin' You've got to give it up Ooh, ooh Let's dance, let's shout Get funky, what it's all about Ooh, ooh Let's dance, let's shout Get funky, what it's all about The express party's going to be alright Let's dance, let's shout Get funky, what it's all about Let's dance, let's shout Get funky, what it's all about Let's dance, let's shout Get funky, what it's all about Let's dance, let's shout"
